paro
4,41
4,72
4,93
4,78
5,34
5,69
6,47
6,61
7,07
7,62
8,13
8,17
8,72
9,52
10,63
11,12
11,48
12,43
13,38
13,64
14,11
14,99
15,51
15,33
15,93
16,61
17,28
16,88
17,18
17,97
19,6
19,67
19,97
21,08
21,5
21,53
21,3
21,48
21,65
21,02
20,59
20,64
21,01
20,2
19,93
19,75
19,99
19,61
19,04
18,31
18,26
17,26
16,56
16,88
16,76
16,25
15,85
16,09
16,11
15,88
16,33
16,93
17,4
17,71
18,27
20,03
21,69
22,17
22,87
23,83
24,55
24,22
23,8
23,9
23,49
22,7
22,65
22,76
22,92
22,26
21,82
21,73
21,46
20,88
20,46
20,22
19,51
18,83
18,41
18,09
16,89
15,49
15,29
15,32
14,89
13,83
13,57
13,44
10,87
10,35
10,25
10,5
11,47
11,09
11,41
11,45
11,73
11,12
11,17
11,2
11,38
10,93
10,54
10,56
10,19
9,33
8,42
8,70
9,07
8,53
8,15
8,30
8,47
7,95
8,03

